filename,total_pages,max_page_num,mean_vector,max_vector,file_url,hover_text,mean_umap_1,mean_umap_2,max_umap_1,max_umap_2,cluster_mean,cluster_max,cluster_label_mean,cluster_label_max
0000009282,1,1,,,https://pdf.hres.ca/noc_pm/0000009282.PDF,Document: 0000009282<br>Pages: 1<br>Click to open file,-0.9515795057755194,8.147545239352482,-9.493612791328525,6.972033464881724,2,2,Cluster 2,Cluster 2
0000009285,1,1,,,https://pdf.hres.ca/noc_pm/0000009285.PDF,Document: 0000009285<br>Pages: 1<br>Click to open file,-1.0012912100296698,9.55565871896674,-8.146145368843174,7.019213640662974,2,2,Cluster 2,Cluster 2
0000009414,1,1,,,https://pdf.hres.ca/noc_pm/0000009414.PDF,Document: 0000009414<br>Pages: 1<br>Click to open file,-0.39317053017432313,9.22692336740424,-8.702165151863193,6.392512285682505,2,2,Cluster 2,Cluster 2
0000009620,1,1,,,https://pdf.hres.ca/noc_pm/0000009620.PDF,Document: 0000009620<br>Pages: 1<br>Click to open file,1.5475454086322107,8.570618054293888,-8.445795561103916,4.3658008217542825,4,4,Cluster 4,Cluster 4
0000009718,1,1,,,https://pdf.hres.ca/noc_pm/0000009718.PDF,Document: 0000009718<br>Pages: 1<br>Click to open file,1.573283975746087,8.701215168856876,-8.62861874225626,4.473313772651499,4,4,Cluster 4,Cluster 4
0000009985,1,1,,,https://pdf.hres.ca/noc_pm/0000009985.PDF,Document: 0000009985<br>Pages: 1<br>Click to open file,1.2900379801053323,9.216261288546818,-8.787991071968174,5.062672579261607,4,4,Cluster 4,Cluster 4
0000010027,1,1,,,https://pdf.hres.ca/noc_pm/0000010027.PDF,Document: 0000010027<br>Pages: 1<br>Click to open file,1.5982664579409875,8.625758549594181,-8.486752058296299,4.3930554032056985,4,4,Cluster 4,Cluster 4
0000010045,1,1,,,https://pdf.hres.ca/noc_pm/0000010045.PDF,Document: 0000010045<br>Pages: 1<br>Click to open file,1.4788130724686899,9.199889561557072,-8.896290327339267,4.734904730293101,4,4,Cluster 4,Cluster 4
0000010117,1,1,,,https://pdf.hres.ca/noc_pm/0000010117.PDF,Document: 0000010117<br>Pages: 1<br>Click to open file,1.4541793370503702,9.20569648446967,-8.889044309883213,4.81085392234022,4,4,Cluster 4,Cluster 4
0000010354,1,1,,,https://pdf.hres.ca/noc_pm/0000010354.PDF,Document: 0000010354<br>Pages: 1<br>Click to open file,1.6014240139979639,8.81833781900336,-8.726498152046299,4.570949518653697,4,4,Cluster 4,Cluster 4
0000010411,1,1,,,https://pdf.hres.ca/noc_pm/0000010411.PDF,Document: 0000010411<br>Pages: 1<br>Click to open file,1.5876430923003473,8.813029667758244,-8.611510778694248,4.47909590003187,4,4,Cluster 4,Cluster 4
0000010452,1,1,,,https://pdf.hres.ca/noc_pm/0000010452.PDF,Document: 0000010452<br>Pages: 1<br>Click to open file,1.483564531232766,9.211806675814884,-8.916087652473545,4.761918032142466,4,4,Cluster 4,Cluster 4
0000010489,1,1,,,https://pdf.hres.ca/noc_pm/0000010489.PDF,Document: 0000010489<br>Pages: 1<br>Click to open file,-0.6954240149002753,8.049228093051212,-9.698101545600986,6.701913797828501,2,2,Cluster 2,Cluster 2
0000010492,1,1,,,https://pdf.hres.ca/noc_pm/0000010492.PDF,Document: 0000010492<br>Pages: 1<br>Click to open file,1.4816764945048608,9.183787724398869,-8.92596581104288,4.722682440254038,4,4,Cluster 4,Cluster 4
0000010526,1,1,,,https://pdf.hres.ca/noc_pm/0000010526.PDF,Document: 0000010526<br>Pages: 1<br>Click to open file,1.5691976601142206,8.590944668673771,-8.519795919685459,4.41801306006605,4,4,Cluster 4,Cluster 4
0000010603,1,1,,,https://pdf.hres.ca/noc_pm/0000010603.PDF,Document: 0000010603<br>Pages: 1<br>Click to open file,1.507829075481347,9.15360965433051,-8.920068289070224,4.732823336097544,4,4,Cluster 4,Cluster 4
0000010610,1,1,,,https://pdf.hres.ca/noc_pm/0000010610.PDF,Document: 0000010610<br>Pages: 1<br>Click to open file,1.5477522367495813,9.086923977755802,-8.923018957405185,4.809823000404185,4,4,Cluster 4,Cluster 4
0000010629,1,1,,,https://pdf.hres.ca/noc_pm/0000010629.PDF,Document: 0000010629<br>Pages: 1<br>Click to open file,1.5120614373940744,9.146427533053654,-8.866142774849033,4.8078832268446146,4,4,Cluster 4,Cluster 4
